EVCount,StationCount,TotalChargers,EVsPerCharger,CoverageGapFlag,StationKey,CalendarKey,GeographyKey,VehicleKey,ZipCode,City,County,State,Latitude,Longitude
1004,13,44,22.82,1,1,1,262,1,98503,Lacey,Thurston,WA,,
70,0,0,0.0,1,0,1,263,1,98504,Olympia,Thurston,WA,,
795,0,0,0.0,1,0,1,264,1,98506,Lacey,Thurston,WA,,
1,1,6,0.17,0,1623,1,265,1,98507,Olympia,Thurston,WA,,
947,3,14,67.64,1,220,1,266,1,98512,Olympia,Thurston,WA,,
1049,2,11,95.36,1,570,1,267,1,98513,Lacey,Thurston,WA,,
1295,8,39,33.21,1,467,1,268,1,98516,Lacey,Thurston,WA,,
285,9,22,12.95,1,276,1,269,1,98520,Aberdeen,Grays Harbor,WA,,
139,0,0,0.0,1,0,1,270,1,98524,Allyn,Mason,WA,,
7,0,0,0.0,1,0,1,271,1,98526,Amanda Park,Grays Harbor,WA,,
4,0,0,0.0,1,0,1,272,1,98527,Bay Center,Pacific,WA,,
267,2,4,66.75,1,1382,1,273,1,98528,Belfair,Mason,WA,,
3,0,0,0.0,1,0,1,274,1,98530,Bucoda,Thurston,WA,,
430,5,28,15.36,1,105,1,275,1,98531,Centralia,Lewis,WA,,
379,10,30,12.63,1,1689,1,276,1,98532,Chehalis,Lewis,WA,,
12,0,0,0.0,1,0,1,277,1,98533,Cinebar,Lewis,WA,,
11,0,0,0.0,1,0,1,278,1,98535,Copalis Beach,Grays Harbor,WA,,
2,0,0,0.0,1,0,1,279,1,98536,Copalis Crossing,Grays Harbor,WA,,
29,0,0,0.0,1,0,1,280,1,98537,Cosmopolis,Grays Harbor,WA,,
10,0,0,0.0,1,0,1,281,1,98538,Curtis,Lewis,WA,,
1,0,0,0.0,1,0,1,282,1,98539,Doty,Lewis,WA,,
102,0,0,0.0,1,0,1,283,1,98541,Elma,Grays Harbor,WA,,
16,0,0,0.0,1,0,1,284,1,98542,Chehalis,Lewis,WA,,
2,0,0,0.0,1,0,1,285,1,98544,Galvin,Lewis,WA,,
114,0,0,0.0,1,0,1,286,1,98546,Grapeview,Mason,WA,,
20,0,0,0.0,1,0,1,287,1,98547,Grayland,Grays Harbor,WA,,
76,0,0,0.0,1,0,1,288,1,98548,Hoodsport,Mason,WA,,
91,0,0,0.0,1,0,1,289,1,98550,Hoquiam,Grays Harbor,WA,,
20,0,0,0.0,1,0,1,290,1,98555,Lilliwaup,Mason,WA,,
73,0,0,0.0,1,0,1,291,1,98557,McCleary,Mason,WA,,
2,0,0,0.0,1,0,1,292,1,98558,Mckenna,Pierce,WA,,
1,0,0,0.0,1,0,1,293,1,98560,Matlock,Mason,WA,,
7,2,4,1.75,0,298,1,294,1,98562,Moclips,Grays Harbor,WA,,
138,1,1,138.0,1,2394,1,295,1,98563,Montesano,Grays Harbor,WA,,
44,3,5,8.8,0,351,1,296,1,98564,Mossyrock,Lewis,WA,,
8,0,0,0.0,1,0,1,297,1,98565,Napavine,Lewis,WA,,
43,0,0,0.0,1,0,1,298,1,98568,Oakville,Grays Harbor,WA,,
247,3,12,20.58,1,269,1,299,1,98569,Ocean Shores,Grays Harbor,WA,,
67,0,0,0.0,1,0,1,300,1,98570,Onalaska,Lewis,WA,,
38,1,8,4.75,0,1679,1,301,1,98571,Pacific Beach,Grays Harbor,WA,,
5,0,0,0.0,1,0,1,302,1,98572,Pe Ell,Lewis,WA,,
4,1,2,2.0,0,462,1,303,1,98575,Quinault,Grays Harbor,WA,,
98,0,0,0.0,1,0,1,304,1,98576,Rainier,Thurston,WA,,
